,Date,USD,EUR,EXMP1,EXMP2,EXMP3,EXMP4
0,2018-01-01,8120.07,9624.72,2210.0,,,
1,2018-01-02,8120.07,9624.72,2210.0,,,
2,2018-01-03,8120.07,9624.72,2210.0,,,
3,2018-01-04,8120.07,9624.72,2210.0,,,
4,2018-01-05,8136.67,9775.4,2210.0,,,
5,2018-01-06,8136.67,9775.4,2210.0,,,
6,2018-01-07,8136.67,9775.4,2210.0,,,
7,2018-01-08,8136.67,9775.4,2210.0,,,
8,2018-01-09,8139.0,9787.96,2210.0,,,
9,2018-01-10,8139.0,9787.96,2210.0,,,
10,2018-01-11,8139.0,9787.96,2210.0,,,
11,2018-01-12,8139.0,9787.96,2210.0,,,
12,2018-01-13,8139.0,9787.96,2210.0,,,
13,2018-01-14,8139.0,9787.96,2210.0,,,
14,2018-01-15,8139.0,9787.96,2210.0,,,
15,2018-01-16,8146.38,9965.47,2210.0,,,
16,2018-01-17,8146.38,9965.47,2210.0,,,
17,2018-01-18,8146.38,9965.47,2210.0,,,
18,2018-01-19,8146.38,9965.47,2210.0,,,
19,2018-01-20,8146.38,9965.47,2210.0,,,
20,2018-01-21,8146.38,9965.47,2210.0,,,
21,2018-01-22,8146.38,9965.47,2210.0,,,
22,2018-01-23,8163.93,9978.77,2210.0,,,
23,2018-01-24,8163.93,9978.77,2210.0,,,
24,2018-01-25,8163.93,9978.77,2210.0,,,
25,2018-01-26,8163.93,9978.77,2210.0,,,
26,2018-01-27,8163.93,9978.77,2210.0,,,
27,2018-01-28,8163.93,9978.77,2210.0,,,
28,2018-01-29,8163.93,9978.77,2210.0,,,
29,2018-01-30,8175.77,10146.13,2210.0,,,
30,2018-01-31,8175.77,10146.13,2210.0,,,
31,2018-02-01,8175.77,10146.13,2210.0,,,
32,2018-02-02,8175.77,10146.13,2210.0,,,
33,2018-02-03,8175.77,10146.13,2210.0,,,
34,2018-02-04,8175.77,10146.13,2210.0,,,
35,2018-02-05,8175.77,10146.13,2210.0,,,
36,2018-02-06,8186.95,10196.85,2210.0,,,
37,2018-02-07,8186.95,10196.85,2210.0,,,
38,2018-02-08,8186.95,10196.85,2210.0,,,
39,2018-02-09,8186.95,10196.85,2210.0,,,
40,2018-02-10,8186.95,10196.85,2210.0,,,
41,2018-02-11,8186.95,10196.85,2210.0,,,
42,2018-02-12,8186.95,10196.85,2210.0,,,
43,2018-02-13,8188.33,10057.73,2210.0,,,
44,2018-02-14,8188.33,10057.73,2210.0,,,
45,2018-02-15,8188.33,10057.73,2210.0,,,
46,2018-02-16,8188.33,10057.73,2210.0,,,
47,2018-02-17,8188.33,10057.73,2210.0,,,
48,2018-02-18,8188.33,10057.73,2210.0,,,
49,2018-02-19,8188.33,10057.73,2210.0,,,
50,2018-02-20,8182.73,10158.86,2210.0,,,
51,2018-02-21,8182.73,10158.86,2210.0,,,
52,2018-02-22,8182.73,10158.86,2210.0,,,
53,2018-02-23,8182.73,10158.86,2210.0,,,
54,2018-02-24,8182.73,10158.86,2210.0,,,
55,2018-02-25,8182.73,10158.86,2210.0,,,
56,2018-02-26,8182.73,10158.86,2210.0,,,
57,2018-02-27,8171.64,10060.92,2210.0,,,
58,2018-02-28,8171.64,10060.92,2182.0,,,
59,2018-03-01,8171.64,10060.92,2182.0,,,
60,2018-03-02,8171.64,10060.92,2182.0,,,
61,2018-03-03,8171.64,10060.92,2182.0,,,
62,2018-03-04,8171.64,10060.92,2182.0,,,
63,2018-03-05,8171.64,10060.92,2182.0,,,
64,2018-03-06,8163.46,10059.02,2182.0,,,
65,2018-03-07,8163.46,10059.02,2182.0,,,
66,2018-03-08,8163.46,10059.02,2182.0,,,
67,2018-03-09,8163.46,10059.02,2182.0,,,
68,2018-03-10,8163.46,10059.02,2182.0,,,
69,2018-03-11,8163.46,10059.02,2182.0,,,
70,2018-03-12,8163.46,10059.02,2182.0,,,
71,2018-03-13,8140.06,10030.18,2182.0,,,
72,2018-03-14,8140.06,10030.18,2182.0,,,
73,2018-03-15,8140.06,10030.18,2182.0,,,
74,2018-03-16,8140.06,10030.18,2182.0,,,
75,2018-03-17,8140.06,10030.18,2182.0,,,
76,2018-03-18,8140.06,10030.18,2182.0,,,
77,2018-03-19,8140.06,10030.18,2182.0,,,
78,2018-03-20,8140.06,10030.18,2182.0,,,
79,2018-03-21,8140.06,10030.18,2182.0,,,
80,2018-03-22,8140.06,10030.18,2182.0,,,
81,2018-03-23,8118.07,10037.18,2182.0,,,
82,2018-03-24,8118.07,10037.18,2182.0,,,
83,2018-03-25,8118.07,10037.18,2182.0,,,
84,2018-03-26,8118.07,10037.18,2182.0,,,
85,2018-03-27,8114.86,10039.7,2182.0,,,
86,2018-03-28,8114.86,10039.7,2182.0,,,
